test_week,train_weeks,bet_type,dow_pt,score_col,cutoff,stake_frac,alpha_global,status,rule_key
2025-09-29/2025-10-05,10,FT,segunda-feira,score_v1_hgb,1.0,0.0,1.0,too_few_weeks,FT|segunda-feira
2025-09-29/2025-10-05,10,FT,terça-feira,score_v1_hgb,1.0,0.0,1.0,too_few_weeks,FT|terça-feira
2025-09-29/2025-10-05,10,FT,quarta-feira,score_v1_hgb,1.0,0.0,1.0,too_few_weeks,FT|quarta-feira
2025-09-29/2025-10-05,10,FT,quinta-feira,score_v1_hgb,1.0,0.0,1.0,too_few_weeks,FT|quinta-feira
2025-09-29/2025-10-05,10,FT,sexta-feira,score_v1_hgb,1.0,0.0,1.0,no_candidate,FT|sexta-feira
2025-09-29/2025-10-05,10,FT,sábado,score_v1_hgb,0.27,0.03,1.0,ok,FT|sábado
2025-09-29/2025-10-05,10,FT,domingo,score_v1_hgb,1.0,0.0,1.0,too_few_weeks,FT|domingo
2025-09-29/2025-10-05,10,FH,segunda-feira,score_v1_hgb,1.0,0.0,1.0,no_data,FH|segunda-feira
2025-09-29/2025-10-05,10,FH,terça-feira,score_v1_hgb,1.0,0.0,1.0,too_few_weeks,FH|terça-feira
2025-09-29/2025-10-05,10,FH,quarta-feira,score_v1_hgb,1.0,0.0,1.0,too_few_weeks,FH|quarta-feira
2025-09-29/2025-10-05,10,FH,quinta-feira,score_v1_hgb,1.0,0.0,1.0,too_few_weeks,FH|quinta-feira
2025-09-29/2025-10-05,10,FH,sexta-feira,score_v1_hgb,1.0,0.0,1.0,no_candidate,FH|sexta-feira
2025-09-29/2025-10-05,10,FH,sábado,score_v1_hgb,1.0,0.0,1.0,too_few_weeks,FH|sábado
2025-09-29/2025-10-05,10,FH,domingo,score_v1_hgb,1.0,0.0,1.0,too_few_weeks,FH|domingo
2025-10-06/2025-10-12,11,FT,segunda-feira,score_v1_hgb,1.0,0.0,0.924399733543396,too_few_weeks,FT|segunda-feira
2025-10-06/2025-10-12,11,FT,terça-feira,score_v1_hgb,1.0,0.0,0.924399733543396,too_few_weeks,FT|terça-feira
2025-10-06/2025-10-12,11,FT,quarta-feira,score_v1_hgb,1.0,0.0,0.924399733543396,too_few_weeks,FT|quarta-feira
2025-10-06/2025-10-12,11,FT,quinta-feira,score_v1_hgb,1.0,0.0,0.924399733543396,no_candidate,FT|quinta-feira
2025-10-06/2025-10-12,11,FT,sexta-feira,score_v1_hgb,0.25,0.04,0.924399733543396,ok,FT|sexta-feira
2025-10-06/2025-10-12,11,FT,sábado,score_v1_hgb,0.43,0.04,0.924399733543396,ok,FT|sábado
2025-10-06/2025-10-12,11,FT,domingo,score_v1_hgb,1.0,0.0,0.924399733543396,no_candidate,FT|domingo
2025-10-06/2025-10-12,11,FH,segunda-feira,score_v1_hgb,1.0,0.0,0.924399733543396,no_data,FH|segunda-feira
2025-10-06/2025-10-12,11,FH,terça-feira,score_v1_hgb,1.0,0.0,0.924399733543396,too_few_weeks,FH|terça-feira
2025-10-06/2025-10-12,11,FH,quarta-feira,score_v1_hgb,1.0,0.0,0.924399733543396,too_few_weeks,FH|quarta-feira
2025-10-06/2025-10-12,11,FH,quinta-feira,score_v1_hgb,1.0,0.0,0.924399733543396,no_candidate,FH|quinta-feira
2025-10-06/2025-10-12,11,FH,sexta-feira,score_v1_hgb,1.0,0.0,0.924399733543396,no_candidate,FH|sexta-feira
2025-10-06/2025-10-12,11,FH,sábado,score_v1_hgb,0.25,0.03,0.924399733543396,ok,FH|sábado
2025-10-06/2025-10-12,11,FH,domingo,score_v1_hgb,1.0,0.0,0.924399733543396,too_few_weeks,FH|domingo
2025-10-13/2025-10-19,12,FT,segunda-feira,score_v1_hgb,1.0,0.0,0.7037266492843628,too_few_weeks,FT|segunda-feira
2025-10-13/2025-10-19,12,FT,terça-feira,score_v1_hgb,1.0,0.0,0.7037266492843628,too_few_weeks,FT|terça-feira
2025-10-13/2025-10-19,12,FT,quarta-feira,score_v1_hgb,1.0,0.0,0.7037266492843628,too_few_weeks,FT|quarta-feira
2025-10-13/2025-10-19,12,FT,quinta-feira,score_v1_hgb,1.0,0.0,0.7037266492843628,no_candidate,FT|quinta-feira
2025-10-13/2025-10-19,12,FT,sexta-feira,score_v1_hgb,0.39,0.07,0.7037266492843628,ok,FT|sexta-feira
2025-10-13/2025-10-19,12,FT,sábado,score_v1_hgb,0.43,0.04,0.7037266492843628,ok,FT|sábado
2025-10-13/2025-10-19,12,FT,domingo,score_v1_hgb,0.33,0.04,0.7037266492843628,ok,FT|domingo
2025-10-13/2025-10-19,12,FH,segunda-feira,score_v1_hgb,1.0,0.0,0.7037266492843628,no_data,FH|segunda-feira
2025-10-13/2025-10-19,12,FH,terça-feira,score_v1_hgb,1.0,0.0,0.7037266492843628,too_few_weeks,FH|terça-feira
2025-10-13/2025-10-19,12,FH,quarta-feira,score_v1_hgb,1.0,0.0,0.7037266492843628,too_few_weeks,FH|quarta-feira
2025-10-13/2025-10-19,12,FH,quinta-feira,score_v1_hgb,1.0,0.0,0.7037266492843628,no_candidate,FH|quinta-feira
2025-10-13/2025-10-19,12,FH,sexta-feira,score_v1_hgb,0.33,0.07,0.7037266492843628,ok,FH|sexta-feira
2025-10-13/2025-10-19,12,FH,sábado,score_v1_hgb,0.37,0.03,0.7037266492843628,ok,FH|sábado
2025-10-13/2025-10-19,12,FH,domingo,score_v1_hgb,1.0,0.0,0.7037266492843628,no_candidate,FH|domingo
2025-10-20/2025-10-26,12,FT,segunda-feira,score_v1_hgb,1.0,0.0,0.4798247814178467,too_few_weeks,FT|segunda-feira
2025-10-20/2025-10-26,12,FT,terça-feira,score_v1_hgb,1.0,0.0,0.4798247814178467,too_few_weeks,FT|terça-feira
2025-10-20/2025-10-26,12,FT,quarta-feira,score_v1_hgb,1.0,0.0,0.4798247814178467,too_few_weeks,FT|quarta-feira
2025-10-20/2025-10-26,12,FT,quinta-feira,score_v1_hgb,0.39,0.07,0.4798247814178467,ok,FT|quinta-feira
2025-10-20/2025-10-26,12,FT,sexta-feira,score_v1_hgb,0.39,0.07,0.4798247814178467,ok,FT|sexta-feira
2025-10-20/2025-10-26,12,FT,sábado,score_v1_hgb,0.43,0.04,0.4798247814178467,ok,FT|sábado
2025-10-20/2025-10-26,12,FT,domingo,score_v1_hgb,0.33,0.04,0.4798247814178467,ok,FT|domingo
2025-10-20/2025-10-26,12,FH,segunda-feira,score_v1_hgb,1.0,0.0,0.4798247814178467,too_few_weeks,FH|segunda-feira
2025-10-20/2025-10-26,12,FH,terça-feira,score_v1_hgb,1.0,0.0,0.4798247814178467,too_few_weeks,FH|terça-feira
2025-10-20/2025-10-26,12,FH,quarta-feira,score_v1_hgb,1.0,0.0,0.4798247814178467,too_few_weeks,FH|quarta-feira
2025-10-20/2025-10-26,12,FH,quinta-feira,score_v1_hgb,0.21,0.04,0.4798247814178467,ok,FH|quinta-feira
2025-10-20/2025-10-26,12,FH,sexta-feira,score_v1_hgb,0.33,0.07,0.4798247814178467,ok,FH|sexta-feira
2025-10-20/2025-10-26,12,FH,sábado,score_v1_hgb,0.37,0.03,0.4798247814178467,ok,FH|sábado
2025-10-20/2025-10-26,12,FH,domingo,score_v1_hgb,1.0,0.0,0.4798247814178467,no_candidate,FH|domingo
2025-10-27/2025-11-02,12,FT,segunda-feira,score_v1_hgb,1.0,0.0,0.33602726459503174,too_few_weeks,FT|segunda-feira
2025-10-27/2025-11-02,12,FT,terça-feira,score_v1_hgb,1.0,0.0,0.33602726459503174,no_candidate,FT|terça-feira
2025-10-27/2025-11-02,12,FT,quarta-feira,score_v1_hgb,1.0,0.0,0.33602726459503174,no_candidate,FT|quarta-feira
2025-10-27/2025-11-02,12,FT,quinta-feira,score_v1_hgb,0.39,0.07,0.33602726459503174,ok,FT|quinta-feira
2025-10-27/2025-11-02,12,FT,sexta-feira,score_v1_hgb,0.39,0.07,0.33602726459503174,ok,FT|sexta-feira
2025-10-27/2025-11-02,12,FT,sábado,score_v1_hgb,0.43,0.04,0.33602726459503174,ok,FT|sábado
2025-10-27/2025-11-02,12,FT,domingo,score_v1_hgb,0.45,0.06,0.33602726459503174,ok,FT|domingo
2025-10-27/2025-11-02,12,FH,segunda-feira,score_v1_hgb,1.0,0.0,0.33602726459503174,too_few_weeks,FH|segunda-feira
2025-10-27/2025-11-02,12,FH,terça-feira,score_v1_hgb,1.0,0.0,0.33602726459503174,too_few_weeks,FH|terça-feira
2025-10-27/2025-11-02,12,FH,quarta-feira,score_v1_hgb,1.0,0.0,0.33602726459503174,no_candidate,FH|quarta-feira
2025-10-27/2025-11-02,12,FH,quinta-feira,score_v1_hgb,0.33,0.06,0.33602726459503174,ok,FH|quinta-feira
2025-10-27/2025-11-02,12,FH,sexta-feira,score_v1_hgb,0.33,0.07,0.33602726459503174,ok,FH|sexta-feira
2025-10-27/2025-11-02,12,FH,sábado,score_v1_hgb,0.37,0.03,0.33602726459503174,ok,FH|sábado
2025-10-27/2025-11-02,12,FH,domingo,score_v1_hgb,0.29,0.07,0.33602726459503174,ok,FH|domingo
2025-11-03/2025-11-09,12,FT,segunda-feira,score_v1_hgb,1.0,0.0,0.2782193422317505,too_few_weeks,FT|segunda-feira
2025-11-03/2025-11-09,12,FT,terça-feira,score_v1_hgb,1.0,0.0,0.2782193422317505,no_candidate,FT|terça-feira
